Starting h400_l2_d0
Using device: cuda
GPU: AMD Radeon RX 6950 XT
Epoch 56 | Train Loss: 0.001139 | Validation Loss: 0.001249 | LR: 1.00e-03 | Time: 0.26mins
Epoch 57 | Train Loss: 0.001072 | Validation Loss: 0.001116 | LR: 1.00e-03 | Time: 0.26mins
Epoch 58 | Train Loss: 0.001037 | Validation Loss: 0.001130 | LR: 1.00e-03 | Time: 0.26mins
Epoch 59 | Train Loss: 0.001019 | Validation Loss: 0.001125 | LR: 1.00e-03 | Time: 0.26mins
Epoch 60 | Train Loss: 0.000999 | Validation Loss: 0.001137 | LR: 1.00e-03 | Time: 0.26mins
Epoch 61 | Train Loss: 0.001001 | Validation Loss: 0.001157 | LR: 1.00e-03 | Time: 0.26mins
Epoch 62 | Train Loss: 0.001000 | Validation Loss: 0.001095 | LR: 1.00e-03 | Time: 0.26mins
Epoch 63 | Train Loss: 0.000978 | Validation Loss: 0.001111 | LR: 1.00e-03 | Time: 0.26mins
Epoch 64 | Train Loss: 0.000974 | Validation Loss: 0.001083 | LR: 1.00e-03 | Time: 0.26mins
Epoch 65 | Train Loss: 0.000977 | Validation Loss: 0.001100 | LR: 1.00e-03 | Time: 0.26mins
Epoch 66 | Train Loss: 0.000954 | Validation Loss: 0.001074 | LR: 1.00e-03 | Time: 0.26mins
Epoch 67 | Train Loss: 0.000950 | Validation Loss: 0.001086 | LR: 1.00e-03 | Time: 0.26mins
Epoch 68 | Train Loss: 0.000944 | Validation Loss: 0.001104 | LR: 1.00e-03 | Time: 0.26mins
Epoch 69 | Train Loss: 0.000924 | Validation Loss: 0.001081 | LR: 1.00e-03 | Time: 0.26mins
Epoch 70 | Train Loss: 0.000920 | Validation Loss: 0.001090 | LR: 1.00e-03 | Time: 0.26mins
Epoch 71 | Train Loss: 0.000922 | Validation Loss: 0.001074 | LR: 1.00e-03 | Time: 0.26mins
Epoch 72 | Train Loss: 0.000931 | Validation Loss: 0.001074 | LR: 1.00e-03 | Time: 0.26mins
Epoch 73 | Train Loss: 0.000856 | Validation Loss: 0.001007 | LR: 5.00e-04 | Time: 0.26mins
Epoch 74 | Train Loss: 0.000842 | Validation Loss: 0.001005 | LR: 5.00e-04 | Time: 0.26mins
Epoch 75 | Train Loss: 0.000838 | Validation Loss: 0.001030 | LR: 5.00e-04 | Time: 0.26mins
Epoch 76 | Train Loss: 0.000836 | Validation Loss: 0.001023 | LR: 5.00e-04 | Time: 0.26mins
Epoch 77 | Train Loss: 0.000831 | Validation Loss: 0.001010 | LR: 5.00e-04 | Time: 0.26mins
Epoch 78 | Train Loss: 0.000833 | Validation Loss: 0.001023 | LR: 5.00e-04 | Time: 0.26mins
Epoch 79 | Train Loss: 0.000824 | Validation Loss: 0.001000 | LR: 5.00e-04 | Time: 0.26mins
Epoch 80 | Train Loss: 0.000819 | Validation Loss: 0.001004 | LR: 5.00e-04 | Time: 0.26mins
Epoch 81 | Train Loss: 0.000815 | Validation Loss: 0.001003 | LR: 5.00e-04 | Time: 0.26mins
Epoch 82 | Train Loss: 0.000815 | Validation Loss: 0.001000 | LR: 5.00e-04 | Time: 0.26mins
Epoch 83 | Train Loss: 0.000809 | Validation Loss: 0.001000 | LR: 5.00e-04 | Time: 0.26mins
Epoch 84 | Train Loss: 0.000810 | Validation Loss: 0.000991 | LR: 5.00e-04 | Time: 0.26mins
Epoch 85 | Train Loss: 0.000796 | Validation Loss: 0.000996 | LR: 5.00e-04 | Time: 0.26mins
Epoch 86 | Train Loss: 0.000794 | Validation Loss: 0.001011 | LR: 5.00e-04 | Time: 0.26mins
Epoch 87 | Train Loss: 0.000789 | Validation Loss: 0.000990 | LR: 5.00e-04 | Time: 0.26mins
Epoch 88 | Train Loss: 0.000786 | Validation Loss: 0.000990 | LR: 5.00e-04 | Time: 0.26mins
Epoch 89 | Train Loss: 0.000784 | Validation Loss: 0.001000 | LR: 5.00e-04 | Time: 0.26mins
Epoch 90 | Train Loss: 0.000787 | Validation Loss: 0.000986 | LR: 5.00e-04 | Time: 0.26mins
Epoch 91 | Train Loss: 0.000773 | Validation Loss: 0.000982 | LR: 5.00e-04 | Time: 0.26mins
Epoch 92 | Train Loss: 0.000775 | Validation Loss: 0.000980 | LR: 5.00e-04 | Time: 0.26mins
Epoch 93 | Train Loss: 0.000770 | Validation Loss: 0.000979 | LR: 5.00e-04 | Time: 0.26mins
Epoch 94 | Train Loss: 0.000766 | Validation Loss: 0.000992 | LR: 5.00e-04 | Time: 0.26mins
Epoch 95 | Train Loss: 0.000760 | Validation Loss: 0.000993 | LR: 5.00e-04 | Time: 0.26mins
Epoch 96 | Train Loss: 0.000756 | Validation Loss: 0.000978 | LR: 5.00e-04 | Time: 0.26mins
Epoch 97 | Train Loss: 0.000755 | Validation Loss: 0.000973 | LR: 5.00e-04 | Time: 0.26mins
Epoch 98 | Train Loss: 0.000753 | Validation Loss: 0.000975 | LR: 5.00e-04 | Time: 0.26mins
Epoch 99 | Train Loss: 0.000751 | Validation Loss: 0.000972 | LR: 5.00e-04 | Time: 0.26mins
Epoch 100 | Train Loss: 0.000744 | Validation Loss: 0.000970 | LR: 5.00e-04 | Time: 0.26mins
Epoch 101 | Train Loss: 0.000747 | Validation Loss: 0.000976 | LR: 5.00e-04 | Time: 0.26mins
Epoch 102 | Train Loss: 0.000740 | Validation Loss: 0.000971 | LR: 5.00e-04 | Time: 0.26mins
Epoch 103 | Train Loss: 0.000731 | Validation Loss: 0.000964 | LR: 5.00e-04 | Time: 0.26mins
Epoch 104 | Train Loss: 0.000732 | Validation Loss: 0.000986 | LR: 5.00e-04 | Time: 0.26mins
Epoch 105 | Train Loss: 0.000732 | Validation Loss: 0.000962 | LR: 5.00e-04 | Time: 0.26mins
Epoch 106 | Train Loss: 0.000726 | Validation Loss: 0.000973 | LR: 5.00e-04 | Time: 0.26mins
Epoch 107 | Train Loss: 0.000727 | Validation Loss: 0.000981 | LR: 5.00e-04 | Time: 0.26mins
Epoch 108 | Train Loss: 0.000727 | Validation Loss: 0.000965 | LR: 5.00e-04 | Time: 0.26mins
Epoch 109 | Train Loss: 0.000736 | Validation Loss: 0.000977 | LR: 5.00e-04 | Time: 0.26mins
Epoch 110 | Train Loss: 0.000715 | Validation Loss: 0.000972 | LR: 5.00e-04 | Time: 0.26mins
Epoch 111 | Train Loss: 0.000718 | Validation Loss: 0.000974 | LR: 5.00e-04 | Time: 0.26mins
