Starting h200_lr1e-3
Using device: cuda
GPU: AMD Radeon RX 6950 XT
Epoch 26 | Train Loss: 0.001746 | Validation Loss: 0.001642 | LR: 1.00e-03 | Time: 0.11mins
Epoch 27 | Train Loss: 0.001645 | Validation Loss: 0.001649 | LR: 1.00e-03 | Time: 0.11mins
Epoch 28 | Train Loss: 0.001629 | Validation Loss: 0.001665 | LR: 1.00e-03 | Time: 0.11mins
Epoch 29 | Train Loss: 0.001634 | Validation Loss: 0.001634 | LR: 1.00e-03 | Time: 0.11mins
Epoch 30 | Train Loss: 0.001614 | Validation Loss: 0.001644 | LR: 1.00e-03 | Time: 0.11mins
Epoch 31 | Train Loss: 0.001609 | Validation Loss: 0.001617 | LR: 1.00e-03 | Time: 0.11mins
Epoch 32 | Train Loss: 0.001651 | Validation Loss: 0.001605 | LR: 1.00e-03 | Time: 0.11mins
Epoch 33 | Train Loss: 0.001569 | Validation Loss: 0.001595 | LR: 1.00e-03 | Time: 0.11mins
Epoch 34 | Train Loss: 0.001589 | Validation Loss: 0.001585 | LR: 1.00e-03 | Time: 0.11mins
Epoch 35 | Train Loss: 0.001579 | Validation Loss: 0.001643 | LR: 1.00e-03 | Time: 0.11mins
Epoch 36 | Train Loss: 0.001577 | Validation Loss: 0.001554 | LR: 1.00e-03 | Time: 0.11mins
Epoch 37 | Train Loss: 0.001533 | Validation Loss: 0.001586 | LR: 1.00e-03 | Time: 0.11mins
Epoch 38 | Train Loss: 0.001537 | Validation Loss: 0.001563 | LR: 1.00e-03 | Time: 0.11mins
Epoch 39 | Train Loss: 0.001546 | Validation Loss: 0.001524 | LR: 1.00e-03 | Time: 0.11mins
Epoch 40 | Train Loss: 0.001523 | Validation Loss: 0.001522 | LR: 1.00e-03 | Time: 0.11mins
Epoch 41 | Train Loss: 0.001515 | Validation Loss: 0.001553 | LR: 1.00e-03 | Time: 0.11mins
Epoch 42 | Train Loss: 0.001497 | Validation Loss: 0.001548 | LR: 1.00e-03 | Time: 0.11mins
Epoch 43 | Train Loss: 0.001498 | Validation Loss: 0.001520 | LR: 1.00e-03 | Time: 0.11mins
Epoch 44 | Train Loss: 0.001490 | Validation Loss: 0.001609 | LR: 1.00e-03 | Time: 0.11mins
Epoch 45 | Train Loss: 0.001517 | Validation Loss: 0.001472 | LR: 1.00e-03 | Time: 0.11mins
Epoch 46 | Train Loss: 0.001465 | Validation Loss: 0.001484 | LR: 1.00e-03 | Time: 0.11mins
Epoch 47 | Train Loss: 0.001476 | Validation Loss: 0.001470 | LR: 1.00e-03 | Time: 0.11mins
Epoch 48 | Train Loss: 0.001461 | Validation Loss: 0.001463 | LR: 1.00e-03 | Time: 0.11mins
Epoch 49 | Train Loss: 0.001443 | Validation Loss: 0.001515 | LR: 1.00e-03 | Time: 0.11mins
Epoch 50 | Train Loss: 0.001446 | Validation Loss: 0.001437 | LR: 1.00e-03 | Time: 0.11mins
